Принт	Цвет	Декоративные элементы	Рисунок	Любимые герои	Повод	Назничене подарка
(Принт 215)	Желтый;черный;оранжевый;белый	Стиль	Марка	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 216)	Светло-песочный;желтый;белый;черный	3 лишний	Тедди	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 217)	Черный;белый;коричневый	Awesome	Девушка	Персонажи фильмов	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 218)	Красный;белый;желтый	NASA	Марка	Персонажи фильмов	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 219)	Синий;желтый;красный;черный;белый	Space	Стикер	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 220)	Черный;белый;коричневый;оранжевый	Nike	Найк	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 221)	Красный;белый;желтый;синий	Губы	Помада	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 222)	Черный;белый;бежевый;красный	Paris	Стиль	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 223)	Зеленый;красный;лавандовый;белый	Girls power	Стикеры	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 224)	Черный;красный;белый;коричневый	Актриса	Мэрилин Монро	Персонажи фильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 225)	Черный;розовый;белый;фиолетовый	Уставшая	Девочка	Персонажи фильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Папе сыну; Бабушке
(Принт 226)	Черный;белый;синий;красный	С самолетами	Стикеры	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
