PRINT_NUM;IE_NAME;IE_DETAIL_PICTURE;IP_PROP_THEME;PRODUCT_CODE;SERVICE_CODE
100;Чехол для OPPO F7 силикон прозрачный  Принт 100 (Джон Уик);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 100 (Джон Уик).jpg;Фильмы, сериалы, комиксы;00-00011954;00-00038357
017;Чехол для OPPO F7 силикон прозрачный  Принт 017 (Доктор Рик);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 017 (Доктор Рик).jpg;Мультфильмы и детские;00-00011954;00-00038357
418;Чехол для OPPO F7 силикон прозрачный  Принт 418 (Достать звезду с неба);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 418 (Достать звезду с неба).jpg;Девушки;00-00011954;00-00038357
173;Чехол для OPPO F7 силикон прозрачный  Принт 173 (Дракон);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 173 (Дракон).jpg;Арты;00-00011954;00-00038357
949;Чехол для OPPO F7 силикон прозрачный  Принт 949 (Дроиды Star Wars);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 949 (Дроиды Star Wars).jpg;Фильмы, сериалы, комиксы;00-00011954;00-00038357
324;Чехол для OPPO F7 силикон прозрачный  Принт 324 (Единорог);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 324 (Единорог).jpg;Единороги;00-00011954;00-00038357
586;Чехол для OPPO F7 силикон прозрачный  Принт 586 (Железный человек);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 586 (Железный человек).jpg;Фильмы, сериалы, комиксы;00-00011954;00-00038357
417;Чехол для OPPO F7 силикон прозрачный  Принт 417 (Желтая бабочка в цветах);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 417 (Желтая бабочка в цветах).jpg;Природа;00-00011954;00-00038357
285;Чехол для OPPO F7 силикон прозрачный  Принт 285 (Закат арт);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 285 (Закат арт).jpg;Арты;00-00011954;00-00038357
101;Чехол для OPPO F7 силикон прозрачный  Принт 101 (Закат);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 101 (Закат).jpg;Природа;00-00011954;00-00038357
232;Чехол для OPPO F7 силикон прозрачный  Принт 232 (Заяц - кот);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 232 (Заяц - кот).jpg;Животные;00-00011954;00-00038357
823;Чехол для OPPO F7 силикон прозрачный  Принт 823 (Звезда);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 823 (Звезда).jpg;Города, страны, гербы;00-00011954;00-00038357
500;Чехол для OPPO F7 силикон прозрачный  Принт 500 (Звезда СССР);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 500 (Звезда СССР).jpg;Города, страны, гербы;00-00011954;00-00038357
580;Чехол для OPPO F7 силикон прозрачный  Принт 580 (Золотистые контурные узоры);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 580 (Золотистые контурные узоры).jpg;Текстуры, узоры, графика;00-00011954;00-00038357
975;Чехол для OPPO F7 силикон прозрачный  Принт 975 (Золотые бабочки и цветы);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 975 (Золотые бабочки и цветы).jpg;Арты;00-00011954;00-00038357
739;Чехол для OPPO F7 силикон прозрачный  Принт 739 (Золотые узоры);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 739 (Золотые узоры).jpg;Текстуры, узоры, графика;00-00011954;00-00038357
918;Чехол для OPPO F7 силикон прозрачный  Принт 918 (Игра престолов);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 918 (Игра престолов).jpg;Фильмы, сериалы, комиксы;00-00011954;00-00038357
676;Чехол для OPPO F7 силикон прозрачный  Принт 676 (Игры oldschool);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 676 (Игры oldschool).jpg;Текстуры, узоры, графика;00-00011954;00-00038357
174;Чехол для OPPO F7 силикон прозрачный  Принт 174 (Инь Янь);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 174 (Инь Янь).jpg;Арты;00-00011954;00-00038357
425;Чехол для OPPO F7 силикон прозрачный  Принт 425 (Имперский штурмовик арт);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 425 (Имперский штурмовик арт).jpg;Фильмы, сериалы, комиксы;00-00011954;00-00038357
172;Чехол для OPPO F7 силикон прозрачный  Принт 172 (Инь Янь рыбы);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 172 (Инь Янь рыбы).jpg;Арты;00-00011954;00-00038357
915;Чехол для OPPO F7 силикон прозрачный  Принт 915 (Кайло Рен);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 915 (Кайло Рен).jpg;Фильмы, сериалы, комиксы;00-00011954;00-00038357
360;Чехол для OPPO F7 силикон прозрачный  Принт 360 (Как приручить дракона);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 360 (Как приручить дракона).jpg;Мультфильмы и детские;00-00011954;00-00038357
945;Чехол для OPPO F7 силикон прозрачный  Принт 945 (Капкейк);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 945 (Капкейк).jpg;Еда;00-00011954;00-00038357
307;Чехол для OPPO F7 силикон прозрачный  Принт 307 (Карнаж и Дедпул);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 307 (Карнаж и Дедпул).jpg;Фильмы, сериалы, комиксы;00-00011954;00-00038357
